timestamp,open,high,low,close,volume
2019-07-03,1.129,1.13123,1.1267,1.12872,0.0
2019-07-04,1.12873,1.12952,1.1271,1.12862,0.0
2019-07-05,1.12862,1.1287,1.1206,1.12245,0.0
2019-07-08,1.12286,1.12344,1.1205,1.1216,0.0
2019-07-09,1.12159,1.1219,1.1192,1.12056,0.0
2019-07-10,1.12056,1.12644,1.12,1.12594,0.0
2019-07-11,1.12593,1.1286,1.1244,1.12564,0.0
2019-07-12,1.12562,1.1275,1.1237,1.127,0.0
2019-07-15,1.12718,1.12839,1.1252,1.12609,0.0
2019-07-16,1.1261,1.12634,1.12,1.12105,0.0
2019-07-17,1.12104,1.12337,1.1198,1.12268,0.0
2019-07-18,1.12272,1.1282,1.1204,1.12491,0.0
2019-07-19,1.12493,1.12684,1.1202,1.12211,0.0
2019-07-22,1.12177,1.12255,1.1205,1.12085,0.0
2019-07-23,1.12084,1.1209,1.1144,1.11518,0.0
2019-07-24,1.1152,1.11558,1.1126,1.114,0.0
2019-07-25,1.11417,1.11877,1.11,1.11462,0.0
2019-07-26,1.11463,1.11511,1.1111,1.11278,0.0
2019-07-29,1.11316,1.1151,1.1112,1.11465,0.0
2019-07-30,1.11466,1.1161,1.1131,1.11577,0.0
2019-07-31,1.11579,1.11621,1.1059,1.1079,0.0
2019-08-01,1.1079,1.10961,1.1025,1.10781,0.0
2019-08-02,1.10782,1.11164,1.1068,1.11083,0.0
2019-08-05,1.11057,1.12264,1.1104,1.12245,0.0
2019-08-06,1.1225,1.12496,1.1166,1.12012,0.0
2019-08-07,1.12016,1.12419,1.1178,1.1205,0.0
2019-08-08,1.12049,1.12326,1.1176,1.11853,0.0
2019-08-09,1.11854,1.1223,1.1182,1.1197,0.0
2019-08-12,1.12021,1.12308,1.1161,1.12143,0.0
2019-08-13,1.12143,1.12286,1.1168,1.11739,0.0
2019-08-14,1.11746,1.11908,1.1129,1.11438,0.0
2019-08-15,1.11441,1.11585,1.109,1.11099,0.0
2019-08-16,1.11098,1.11123,1.1065,1.109,0.0
